date,channel,sessions,conversions,revenue
2020-11-01,Direct,288,2,114.0
2020-11-01,Organic Search,481,2,104.0
2020-11-01,Other,213,2,94.0
2020-11-01,Paid Search,54,0,0.0
2020-11-01,Referral,794,8,461.0
2020-11-01,Unknown,795,0,0.0
2020-11-02,Direct,363,5,339.0
2020-11-02,Email,2,0,0.0
2020-11-02,Organic Search,705,3,299.0
2020-11-02,Other,364,6,378.0
2020-11-02,Paid Search,82,2,79.0
2020-11-02,Referral,1335,33,3694.0
2020-11-02,Unknown,880,0,0.0
2020-11-03,Direct,456,4,120.0
2020-11-03,Organic Search,782,6,477.0
2020-11-03,Other,400,10,888.0
2020-11-03,Paid Search,88,0,0.0
2020-11-03,Referral,1696,29,1828.0
2020-11-03,Unknown,1934,0,0.0
2020-11-04,Direct,400,2,100.0
2020-11-04,Organic Search,843,1,68.0
2020-11-04,Other,423,15,357.0
2020-11-04,Paid Search,77,1,87.0
2020-11-04,Referral,1436,27,1585.0
2020-11-04,Unknown,1165,0,0.0
2020-11-05,Direct,433,1,120.0
2020-11-05,Email,1,0,0.0
2020-11-05,Organic Search,787,1,18.0
2020-11-05,Other,392,6,438.0
2020-11-05,Paid Search,87,0,0.0
2020-11-05,Referral,1465,18,1216.0
2020-11-05,Unknown,681,0,0.0
2020-11-06,Direct,385,6,637.0
2020-11-06,Organic Search,714,10,615.0
2020-11-06,Other,353,3,139.0
2020-11-06,Paid Search,81,0,0.0
2020-11-06,Referral,1262,39,2047.0
2020-11-06,Unknown,537,0,0.0
2020-11-07,Direct,282,3,73.0
2020-11-07,Organic Search,480,13,1131.0
2020-11-07,Other,236,2,223.0
2020-11-07,Paid Search,69,2,139.0
2020-11-07,Referral,832,11,965.0
2020-11-07,Unknown,384,0,0.0
2020-11-08,Direct,235,1,100.0
2020-11-08,Organic Search,454,5,176.0
2020-11-08,Other,227,4,508.0
2020-11-08,Paid Search,47,0,0.0
2020-11-08,Referral,785,22,2976.0
2020-11-08,Unknown,422,0,0.0
2020-11-09,Direct,351,2,85.0
2020-11-09,Organic Search,701,7,406.0
2020-11-09,Other,294,2,68.0
2020-11-09,Paid Search,63,0,0.0
2020-11-09,Referral,1240,41,1595.0
2020-11-09,Unknown,633,0,0.0
2020-11-10,Direct,392,8,514.0
2020-11-10,Organic Search,816,9,534.0
2020-11-10,Other,361,6,312.0
2020-11-10,Paid Search,78,1,62.0
2020-11-10,Referral,1552,40,2619.0
2020-11-10,Unknown,636,0,0.0
2020-11-11,Direct,337,6,438.0
2020-11-11,Organic Search,880,11,486.0
2020-11-11,Other,328,8,442.0
2020-11-11,Paid Search,108,2,106.0
2020-11-11,Referral,1489,37,2956.0
2020-11-11,Unknown,678,0,0.0
2020-11-12,Direct,410,5,400.0
2020-11-12,Organic Search,794,7,334.0
2020-11-12,Other,336,3,86.0
2020-11-12,Paid Search,74,0,0.0
2020-11-12,Referral,1431,39,2529.0
2020-11-12,Unknown,657,0,0.0
2020-11-13,Direct,368,7,665.0
2020-11-13,Organic Search,691,11,642.0
2020-11-13,Other,316,10,624.0
2020-11-13,Paid Search,71,0,0.0
2020-11-13,Referral,1331,51,3900.0
2020-11-13,Unknown,570,0,0.0
2020-11-14,Direct,242,2,141.0
2020-11-14,Organic Search,498,3,311.0
2020-11-14,Other,241,6,394.0
2020-11-14,Paid Search,47,0,0.0
2020-11-14,Referral,869,19,1492.0
2020-11-14,Unknown,472,0,0.0
2020-11-15,Direct,267,0,0.0
2020-11-15,Organic Search,488,5,220.0
2020-11-15,Other,212,2,67.0
2020-11-15,Paid Search,46,1,129.0
2020-11-15,Referral,755,13,1067.0
2020-11-15,Unknown,446,0,0.0
2020-11-16,Direct,378,9,564.0
2020-11-16,Organic Search,778,13,962.0
2020-11-16,Other,374,5,648.0
2020-11-16,Paid Search,74,1,38.0
2020-11-16,Referral,1343,41,2834.0
2020-11-16,Unknown,594,0,0.0
2020-11-17,Direct,437,11,933.0
2020-11-17,Organic Search,873,18,1273.0
2020-11-17,Other,395,7,244.0
2020-11-17,Paid Search,65,0,0.0
2020-11-17,Referral,1591,62,3777.0
2020-11-17,Unknown,718,0,0.0
2020-11-18,Direct,417,5,260.0
2020-11-18,Organic Search,914,10,486.0
2020-11-18,Other,309,4,69.0
2020-11-18,Paid Search,87,2,163.0
2020-11-18,Referral,1589,47,3597.0
2020-11-18,Unknown,817,0,0.0
2020-11-19,Direct,449,11,1106.0
2020-11-19,Organic Search,959,10,661.0
2020-11-19,Other,343,10,713.0
2020-11-19,Paid Search,75,0,0.0
2020-11-19,Referral,1564,53,3272.0
2020-11-19,Unknown,807,0,0.0
2020-11-20,Direct,461,9,912.0
2020-11-20,Organic Search,916,8,266.0
2020-11-20,Other,333,5,156.0
2020-11-20,Paid Search,88,5,268.0
2020-11-20,Referral,1598,91,7190.0
2020-11-20,Unknown,745,0,0.0
2020-11-21,Direct,292,6,248.0
2020-11-21,Organic Search,661,4,426.0
2020-11-21,Other,287,4,266.0
2020-11-21,Paid Search,58,6,210.0
2020-11-21,Referral,1129,48,3186.0
2020-11-21,Unknown,771,0,0.0
2020-11-22,Direct,308,10,548.0
2020-11-22,Organic Search,572,18,500.0
2020-11-22,Other,228,5,366.0
2020-11-22,Paid Search,63,0,0.0
2020-11-22,Referral,935,27,2014.0
2020-11-22,Unknown,583,0,0.0
2020-11-23,Direct,445,14,1542.0
2020-11-23,Organic Search,866,25,1198.0
2020-11-23,Other,334,16,408.0
2020-11-23,Paid Search,74,0,0.0
2020-11-23,Referral,1426,86,5334.0
2020-11-23,Unknown,823,0,0.0
2020-11-24,Direct,462,18,875.0
2020-11-24,Organic Search,971,30,3406.0
2020-11-24,Other,382,9,675.0
2020-11-24,Paid Search,93,1,22.0
2020-11-24,Referral,1743,89,5367.0
2020-11-24,Unknown,790,0,0.0
2020-11-25,Direct,467,5,147.0
2020-11-25,Organic Search,935,27,2162.0
2020-11-25,Other,403,7,462.0
2020-11-25,Paid Search,95,1,26.0
2020-11-25,Referral,1680,68,5324.0
2020-11-25,Unknown,1039,0,0.0
2020-11-26,Direct,462,4,174.0
2020-11-26,Organic Search,890,16,2007.0
2020-11-26,Other,369,4,93.0
2020-11-26,Paid Search,77,2,46.0
2020-11-26,Referral,1336,31,1813.0
2020-11-26,Unknown,1056,0,0.0
2020-11-27,Direct,425,13,807.0
2020-11-27,Email,1,1,58.0
2020-11-27,Organic Search,862,10,485.0
2020-11-27,Other,402,15,1132.0
2020-11-27,Paid Search,97,2,70.0
2020-11-27,Referral,1317,56,4147.0
2020-11-27,Unknown,881,0,0.0
2020-11-28,Direct,363,10,822.0
2020-11-28,Email,2,1,76.0
2020-11-28,Organic Search,695,9,944.0
2020-11-28,Other,324,8,494.0
2020-11-28,Paid Search,71,1,0.0
2020-11-28,Referral,1101,49,3919.0
2020-11-28,Unknown,840,0,0.0
2020-11-29,Direct,350,2,264.0
2020-11-29,Email,2,0,0.0
2020-11-29,Organic Search,671,12,970.0
2020-11-29,Other,297,5,355.0
2020-11-29,Paid Search,63,0,0.0
2020-11-29,Referral,1026,32,2273.0
2020-11-29,Unknown,853,0,0.0
2020-11-30,Direct,476,12,937.0
2020-11-30,Email,5,0,0.0
2020-11-30,Organic Search,966,27,2186.0
2020-11-30,Other,415,17,1291.0
2020-11-30,Paid Search,105,5,335.0
2020-11-30,Referral,1620,79,7229.0
2020-11-30,Unknown,1006,1,12.0
2020-12-01,Direct,521,10,349.0
2020-12-01,Organic Search,1075,15,773.0
2020-12-01,Other,458,16,1021.0
2020-12-01,Paid Search,105,1,11.0
2020-12-01,Referral,1827,65,4104.0
2020-12-01,Unknown,1014,0,0.0
2020-12-02,Direct,494,6,242.0
2020-12-02,Email,2,0,0.0
2020-12-02,Organic Search,971,10,896.0
2020-12-02,Other,431,9,393.0
2020-12-02,Paid Search,98,5,308.0
2020-12-02,Referral,1788,52,3362.0
2020-12-02,Unknown,1030,0,0.0
2020-12-03,Direct,530,10,459.0
2020-12-03,Organic Search,1190,21,803.0
2020-12-03,Other,408,10,536.0
2020-12-03,Paid Search,110,0,0.0
2020-12-03,Referral,1829,49,2519.0
2020-12-03,Unknown,1133,0,0.0
2020-12-04,Direct,529,7,266.0
2020-12-04,Organic Search,1064,21,812.0
2020-12-04,Other,405,5,214.0
2020-12-04,Paid Search,114,3,95.0
2020-12-04,Referral,1697,60,5071.0
2020-12-04,Unknown,916,0,0.0
2020-12-05,Direct,427,10,640.0
2020-12-05,Organic Search,764,17,1409.0
2020-12-05,Other,352,10,680.0
2020-12-05,Paid Search,101,1,307.0
2020-12-05,Referral,1162,49,3360.0
2020-12-05,Unknown,704,0,0.0
2020-12-06,Direct,391,4,151.0
2020-12-06,Organic Search,735,10,458.0
2020-12-06,Other,344,6,554.0
2020-12-06,Paid Search,79,0,0.0
2020-12-06,Referral,1107,22,1165.0
2020-12-06,Unknown,683,0,0.0
2020-12-07,Direct,598,8,550.0
2020-12-07,Organic Search,1126,15,1135.0
2020-12-07,Other,532,9,454.0
2020-12-07,Paid Search,128,3,144.0
2020-12-07,Referral,1815,75,6189.0
2020-12-07,Unknown,1262,0,0.0
2020-12-08,Direct,687,7,436.0
2020-12-08,Organic Search,1370,19,855.0
2020-12-08,Other,616,11,795.0
2020-12-08,Paid Search,132,2,71.0
2020-12-08,Referral,2374,83,6538.0
2020-12-08,Unknown,2409,0,0.0
2020-12-09,Direct,610,10,747.0
2020-12-09,Organic Search,1411,39,2850.0
2020-12-09,Other,515,20,917.0
2020-12-09,Paid Search,113,1,24.0
2020-12-09,Referral,1983,80,6325.0
2020-12-09,Unknown,1658,0,0.0
2020-12-10,Direct,635,15,1199.0
2020-12-10,Email,3,0,0.0
2020-12-10,Organic Search,1387,35,2168.0
2020-12-10,Other,571,16,1018.0
2020-12-10,Paid Search,145,2,53.0
2020-12-10,Referral,1994,75,6318.0
2020-12-10,Unknown,1276,0,0.0
2020-12-11,Direct,546,12,695.0
2020-12-11,Email,9,0,0.0
2020-12-11,Organic Search,1324,32,2113.0
2020-12-11,Other,535,10,531.0
2020-12-11,Paid Search,138,5,356.0
2020-12-11,Referral,1821,101,6705.0
2020-12-11,Unknown,1244,0,0.0
2020-12-12,Direct,399,15,1347.0
2020-12-12,Email,4,0,0.0
2020-12-12,Organic Search,1003,20,728.0
2020-12-12,Other,357,13,1004.0
2020-12-12,Paid Search,84,2,64.0
2020-12-12,Referral,1167,56,3141.0
2020-12-12,Unknown,1129,0,0.0
2020-12-13,Direct,364,7,264.0
2020-12-13,Organic Search,931,11,833.0
2020-12-13,Other,300,4,149.0
2020-12-13,Paid Search,88,1,95.0
2020-12-13,Referral,1021,51,3054.0
2020-12-13,Unknown,1006,0,0.0
2020-12-14,Direct,559,19,1090.0
2020-12-14,Email,2,0,0.0
2020-12-14,Organic Search,1276,12,438.0
2020-12-14,Other,464,15,1572.0
2020-12-14,Paid Search,107,2,240.0
2020-12-14,Referral,1544,51,5165.0
2020-12-14,Unknown,1154,0,0.0
2020-12-15,Direct,573,10,374.0
2020-12-15,Email,3,0,0.0
2020-12-15,Organic Search,1363,27,1987.0
2020-12-15,Other,560,9,483.0
2020-12-15,Paid Search,149,4,230.0
2020-12-15,Referral,1840,89,6664.0
2020-12-15,Unknown,1271,0,0.0
2020-12-16,Direct,578,21,2164.0
2020-12-16,Organic Search,1284,23,2447.0
2020-12-16,Other,476,12,832.0
2020-12-16,Paid Search,123,1,22.0
2020-12-16,Referral,1797,86,6044.0
2020-12-16,Unknown,1284,0,0.0
2020-12-17,Direct,555,14,1112.0
2020-12-17,Organic Search,1283,20,963.0
2020-12-17,Other,485,16,602.0
2020-12-17,Paid Search,117,4,249.0
2020-12-17,Referral,1745,72,3819.0
2020-12-17,Unknown,1171,0,0.0
2020-12-18,Direct,553,26,1534.0
2020-12-18,Organic Search,1166,19,924.0
2020-12-18,Other,406,13,949.0
2020-12-18,Paid Search,83,2,92.0
2020-12-18,Referral,1505,47,3125.0
2020-12-18,Unknown,1130,0,0.0
2020-12-19,Direct,388,4,128.0
2020-12-19,Email,1,0,0.0
2020-12-19,Organic Search,855,8,318.0
2020-12-19,Other,304,2,279.0
2020-12-19,Paid Search,73,1,40.0
2020-12-19,Referral,983,37,2017.0
2020-12-19,Unknown,991,0,0.0
2020-12-20,Direct,322,2,77.0
2020-12-20,Organic Search,763,6,473.0
2020-12-20,Other,272,2,81.0
2020-12-20,Paid Search,60,0,0.0
2020-12-20,Referral,856,10,768.0
2020-12-20,Unknown,1023,0,0.0
2020-12-21,Direct,399,17,947.0
2020-12-21,Organic Search,885,8,326.0
2020-12-21,Other,362,3,177.0
2020-12-21,Paid Search,76,0,0.0
2020-12-21,Referral,1319,25,1979.0
2020-12-21,Unknown,976,0,0.0
2020-12-22,Direct,414,8,224.0
2020-12-22,Organic Search,897,6,200.0
2020-12-22,Other,370,8,500.0
2020-12-22,Paid Search,82,1,61.0
2020-12-22,Referral,1250,37,2245.0
2020-12-22,Unknown,835,0,0.0
2020-12-23,Direct,315,4,558.0
2020-12-23,Organic Search,800,16,638.0
2020-12-23,Other,311,7,318.0
2020-12-23,Paid Search,66,0,0.0
2020-12-23,Referral,1092,40,2904.0
2020-12-23,Unknown,864,0,0.0
2020-12-24,Direct,270,0,0.0
2020-12-24,Organic Search,648,3,164.0
2020-12-24,Other,244,6,237.0
2020-12-24,Paid Search,61,0,0.0
2020-12-24,Referral,708,14,791.0
2020-12-24,Unknown,873,0,0.0
2020-12-25,Direct,219,3,59.0
2020-12-25,Organic Search,623,3,155.0
2020-12-25,Other,167,2,54.0
2020-12-25,Paid Search,56,1,26.0
2020-12-25,Referral,555,8,258.0
2020-12-25,Unknown,1028,0,0.0
2020-12-26,Direct,252,1,30.0
2020-12-26,Organic Search,627,6,183.0
2020-12-26,Other,196,2,127.0
2020-12-26,Paid Search,46,0,0.0
2020-12-26,Referral,592,8,394.0
2020-12-26,Unknown,964,0,0.0
2020-12-27,Direct,244,2,81.0
2020-12-27,Organic Search,649,4,148.0
2020-12-27,Other,208,3,115.0
2020-12-27,Paid Search,51,0,0.0
2020-12-27,Referral,601,11,817.0
2020-12-27,Unknown,927,0,0.0
2020-12-28,Direct,339,8,389.0
2020-12-28,Organic Search,752,8,610.0
2020-12-28,Other,262,1,24.0
2020-12-28,Paid Search,68,0,0.0
2020-12-28,Referral,877,19,1074.0
2020-12-28,Unknown,1060,0,0.0
2020-12-29,Direct,320,5,139.0
2020-12-29,Organic Search,814,5,132.0
2020-12-29,Other,301,4,202.0
2020-12-29,Paid Search,70,0,0.0
2020-12-29,Referral,808,10,945.0
2020-12-29,Unknown,1126,0,0.0
2020-12-30,Direct,324,0,0.0
2020-12-30,Organic Search,735,18,126.0
2020-12-30,Other,230,2,177.0
2020-12-30,Paid Search,61,0,0.0
2020-12-30,Referral,812,17,1301.0
2020-12-30,Unknown,1053,0,0.0
2020-12-31,Direct,279,0,0.0
2020-12-31,Organic Search,618,4,137.0
2020-12-31,Other,197,3,154.0
2020-12-31,Paid Search,57,1,27.0
2020-12-31,Referral,557,17,2277.0
2020-12-31,Unknown,921,0,0.0
2021-01-01,Direct,226,2,325.0
2021-01-01,Organic Search,524,1,142.0
2021-01-01,Other,191,0,0.0
2021-01-01,Paid Search,48,1,137.0
2021-01-01,Referral,455,10,371.0
2021-01-01,Unknown,867,0,0.0
2021-01-02,Direct,237,1,87.0
2021-01-02,Organic Search,639,4,116.0
2021-01-02,Other,232,1,48.0
2021-01-02,Paid Search,62,0,0.0
2021-01-02,Referral,586,8,775.0
2021-01-02,Unknown,978,0,0.0
2021-01-03,Direct,252,1,41.0
2021-01-03,Organic Search,639,0,0.0
2021-01-03,Other,240,6,123.0
2021-01-03,Paid Search,49,1,15.0
2021-01-03,Referral,590,6,373.0
2021-01-03,Unknown,1021,0,0.0
2021-01-04,Direct,365,3,126.0
2021-01-04,Organic Search,770,4,118.0
2021-01-04,Other,301,3,86.0
2021-01-04,Paid Search,77,1,13.0
2021-01-04,Referral,777,5,491.0
2021-01-04,Unknown,1083,0,0.0
2021-01-05,Direct,401,0,0.0
2021-01-05,Organic Search,972,11,489.0
2021-01-05,Other,345,1,21.0
2021-01-05,Paid Search,85,0,0.0
2021-01-05,Referral,1095,17,633.0
2021-01-05,Unknown,1597,0,0.0
2021-01-06,Direct,500,7,360.0
2021-01-06,Organic Search,1012,3,229.0
2021-01-06,Other,419,4,294.0
2021-01-06,Paid Search,98,1,44.0
2021-01-06,Referral,1395,16,1073.0
2021-01-06,Unknown,2578,0,0.0
2021-01-07,Direct,459,5,208.0
2021-01-07,Organic Search,1051,6,261.0
2021-01-07,Other,397,2,68.0
2021-01-07,Paid Search,95,0,0.0
2021-01-07,Referral,1116,13,915.0
2021-01-07,Unknown,1550,0,0.0
2021-01-08,Direct,443,8,462.0
2021-01-08,Organic Search,951,5,218.0
2021-01-08,Other,370,5,235.0
2021-01-08,Paid Search,77,3,50.0
2021-01-08,Referral,1094,13,734.0
2021-01-08,Unknown,1331,0,0.0
2021-01-09,Direct,311,4,346.0
2021-01-09,Organic Search,779,1,71.0
2021-01-09,Other,258,2,57.0
2021-01-09,Paid Search,60,1,40.0
2021-01-09,Referral,708,12,849.0
2021-01-09,Unknown,1152,0,0.0
2021-01-10,Direct,288,3,265.0
2021-01-10,Organic Search,710,2,116.0
2021-01-10,Other,248,2,67.0
2021-01-10,Paid Search,66,0,0.0
2021-01-10,Referral,636,7,526.0
2021-01-10,Unknown,1057,0,0.0
2021-01-11,Direct,417,4,270.0
2021-01-11,Organic Search,936,4,348.0
2021-01-11,Other,351,2,61.0
2021-01-11,Paid Search,70,1,99.0
2021-01-11,Referral,1006,17,718.0
2021-01-11,Unknown,1178,0,0.0
2021-01-12,Direct,467,6,302.0
2021-01-12,Organic Search,1143,6,318.0
2021-01-12,Other,426,4,295.0
2021-01-12,Paid Search,96,1,42.0
2021-01-12,Referral,1250,31,1590.0
2021-01-12,Unknown,1348,0,0.0
2021-01-13,Direct,475,2,53.0
2021-01-13,Organic Search,1037,7,364.0
2021-01-13,Other,413,4,311.0
2021-01-13,Paid Search,115,1,24.0
2021-01-13,Referral,1155,22,1106.0
2021-01-13,Unknown,1382,0,0.0
2021-01-14,Direct,499,6,225.0
2021-01-14,Organic Search,1015,13,410.0
2021-01-14,Other,352,5,243.0
2021-01-14,Paid Search,95,0,0.0
2021-01-14,Referral,1203,30,2396.0
2021-01-14,Unknown,1210,0,0.0
2021-01-15,Direct,428,5,61.0
2021-01-15,Organic Search,1001,16,705.0
2021-01-15,Other,359,5,278.0
2021-01-15,Paid Search,71,1,80.0
2021-01-15,Referral,958,20,947.0
2021-01-15,Unknown,1124,0,0.0
2021-01-16,Direct,343,3,95.0
2021-01-16,Organic Search,757,7,278.0
2021-01-16,Other,274,3,141.0
2021-01-16,Paid Search,54,1,0.0
2021-01-16,Referral,732,13,947.0
2021-01-16,Unknown,1023,0,0.0
2021-01-17,Direct,302,0,0.0
2021-01-17,Organic Search,712,4,127.0
2021-01-17,Other,241,2,62.0
2021-01-17,Paid Search,64,0,0.0
2021-01-17,Referral,701,8,292.0
2021-01-17,Unknown,971,0,0.0
2021-01-18,Direct,373,2,70.0
2021-01-18,Organic Search,904,6,610.0
2021-01-18,Other,339,4,245.0
2021-01-18,Paid Search,71,0,0.0
2021-01-18,Referral,859,7,298.0
2021-01-18,Unknown,1070,0,0.0
2021-01-19,Direct,402,8,171.0
2021-01-19,Organic Search,995,12,741.0
2021-01-19,Other,368,5,453.0
2021-01-19,Paid Search,92,0,0.0
2021-01-19,Referral,1167,24,2391.0
2021-01-19,Unknown,1166,0,0.0
2021-01-20,Direct,486,10,699.0
2021-01-20,Organic Search,1050,23,1476.0
2021-01-20,Other,452,16,1076.0
2021-01-20,Paid Search,89,2,206.0
2021-01-20,Referral,1277,45,3249.0
2021-01-20,Unknown,1464,0,0.0
2021-01-21,Direct,257,2,187.0
2021-01-21,Organic Search,1252,6,728.0
2021-01-21,Other,272,3,211.0
2021-01-21,Paid Search,51,0,0.0
2021-01-21,Referral,1344,41,3080.0
2021-01-21,Unknown,1521,0,0.0
2021-01-22,Direct,44,2,109.0
2021-01-22,Organic Search,1527,2,126.0
2021-01-22,Other,93,5,343.0
2021-01-22,Paid Search,5,2,94.0
2021-01-22,Referral,1325,89,4880.0
2021-01-22,Unknown,1107,0,0.0
2021-01-23,Direct,30,0,0.0
2021-01-23,Organic Search,1164,1,90.0
2021-01-23,Other,114,1,122.0
2021-01-23,Paid Search,1,0,0.0
2021-01-23,Referral,881,41,2535.0
2021-01-23,Unknown,954,0,0.0
2021-01-24,Direct,9,0,0.0
2021-01-24,Organic Search,1057,1,44.0
2021-01-24,Other,49,1,13.0
2021-01-24,Paid Search,1,0,0.0
2021-01-24,Referral,887,34,2351.0
2021-01-24,Unknown,974,0,0.0
2021-01-25,Direct,19,2,44.0
2021-01-25,Organic Search,1460,3,242.0
2021-01-25,Other,118,0,0.0
2021-01-25,Paid Search,1,0,0.0
2021-01-25,Referral,1282,56,3067.0
2021-01-25,Unknown,1039,0,0.0
2021-01-26,Direct,26,1,0.0
2021-01-26,Organic Search,1530,5,207.0
2021-01-26,Other,133,2,58.0
2021-01-26,Paid Search,3,0,0.0
2021-01-26,Referral,1301,47,994.0
2021-01-26,Unknown,1106,0,0.0
2021-01-27,Direct,26,1,0.0
2021-01-27,Email,11,0,0.0
2021-01-27,Organic Search,1573,1,0.0
2021-01-27,Other,100,4,0.0
2021-01-27,Paid Search,2,0,0.0
2021-01-27,Referral,1601,48,457.0
2021-01-27,Unknown,1293,0,0.0
2021-01-28,Direct,26,3,14.0
2021-01-28,Email,43,0,0.0
2021-01-28,Organic Search,1495,2,0.0
2021-01-28,Other,77,0,0.0
2021-01-28,Paid Search,2,0,0.0
2021-01-28,Referral,1433,64,114.0
2021-01-28,Unknown,1152,0,0.0
2021-01-29,Direct,23,2,0.0
2021-01-29,Email,13,0,0.0
2021-01-29,Organic Search,1421,3,48.0
2021-01-29,Other,84,1,0.0
2021-01-29,Paid Search,3,0,0.0
2021-01-29,Referral,1168,48,142.0
2021-01-29,Unknown,1087,0,0.0
2021-01-30,Direct,15,1,0.0
2021-01-30,Email,2,0,0.0
2021-01-30,Organic Search,993,3,28.0
2021-01-30,Other,47,1,0.0
2021-01-30,Paid Search,1,0,0.0
2021-01-30,Referral,926,26,131.0
2021-01-30,Unknown,924,0,0.0
2021-01-31,Direct,15,0,0.0
2021-01-31,Email,5,0,0.0
2021-01-31,Organic Search,1003,2,0.0
2021-01-31,Other,36,0,0.0
2021-01-31,Paid Search,4,0,0.0
2021-01-31,Referral,805,17,0.0
2021-01-31,Unknown,981,0,0.0